season,team,Games,PTS_per_game,FGA_per_game,FG3A_per_game,pct_3PA,FTA_per_game,pct_FTA,FG_pct,FG3_pct,FT_pct,eFG_pct,TS_pct,REB_per_game,OREB_per_game,DREB_per_game,AST_per_game,TOV_per_game,AST_to_TOV,STL_per_game,BLK_per_game,pace_proxy,cluster,pc1,pc2
1946-1947,BOS,12,56.666666666666664,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.833333333333333,0.0,32.196969696969695,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-4.561251579438266,-2.559612722465556
1946-1947,GSW,8,68.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1.779807086915336,-1.352310552964456
1947-1948,BOS,16,65.6875,4.625,0.0,0.0,7.8125,1.6891891891891893,5.27027027027027,0.0,2.168,5.27027027027027,4.073643410852713,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.625,0,-3.7975447117071197,1.7310334441051152
1947-1948,GSW,8,66.625,26.25,0.0,0.0,11.0,0.41904761904761906,0.9095238095238095,0.0,1.7159090909090908,0.9095238095238095,1.0714860083628177,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,26.25,0,-1.6889915384092835,-0.7193697635384162
1948-1949,BOS,22,77.0909090909091,0.0,0.0,0.0,30.318181818181817,0.0,0.0,0.0,0.6356821589205397,0.0,2.8894643587297257,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.3760524895485715,-2.0670577984056555
1948-1949,GSW,16,79.3125,0.0,0.0,0.0,30.1875,0.0,0.0,0.0,0.7308488612836439,0.0,2.9856013551665725,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.4115285058910865,-2.0870455674850588
1948-1949,LAL,11,82.72727272727273,0.0,0.0,0.0,30.363636363636363,0.0,0.0,0.0,0.7005988023952096,0.0,3.0960805661404462,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.451199045478713,-2.1098090431093737
1948-1949,NYK,5,81.4,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.7333333333333333,0.0,2.371794871794872,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.4899284357452314,-2.3008860619678377
1949-1950,BOS,24,82.45833333333333,0.0,0.0,0.0,30.25,0.0,0.0,0.0,0.7231404958677686,0.0,3.097608314550463,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.4214121302351206,-2.0570712924936667
1949-1950,GSW,18,69.77777777777777,0.0,0.0,0.0,30.833333333333332,0.0,0.0,0.0,0.6918918918918919,0.0,2.571662571662572,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.3253029310230673,-2.0923964163031603
1949-1950,LAL,14,83.92857142857143,0.0,0.0,0.0,28.214285714285715,0.0,0.0,0.0,0.7822784810126582,0.0,3.3803222094361334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.4550492887844344,-2.0583282189703187
1949-1950,NYK,6,79.16666666666667,0.0,0.0,0.0,41.666666666666664,0.0,0.0,0.0,0.732,0.0,2.159090909090909,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.4859307674828495,-2.3519650668397816
1950-1951,BOS,30,85.26666666666667,2.7666666666666666,0.0,0.0,28.533333333333335,10.313253012048193,10.795180722891565,0.0,0.7967289719626168,10.795180722891565,2.782612479331651,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.7666666666666666,1,-7.038139957991625,7.592282212871511
1950-1951,GSW,20,82.25,8.6,0.0,0.0,30.4,3.5348837209302326,3.3488372093023258,0.0,0.8108552631578947,3.3488372093023258,1.8713596650891884,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.6,0,-3.646821812620921,1.158074364689301
1950-1951,LAL,14,75.78571428571429,0.0,0.0,0.0,27.285714285714285,0.0,0.0,0.0,0.7382198952879581,0.0,3.156235126130414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.3796336271129386,-2.041343320063615
1950-1951,NYK,6,84.5,0.0,0.0,0.0,32.333333333333336,0.0,0.0,0.0,0.7371134020618557,0.0,2.969775070290534,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-2.4837973600135133,-2.1656941924650557
1951-1952,ATL,36,73.05555555555556,4.25,0.0,0.0,0.0,0.0,5.915032679738562,0.0,0.0,5.915032679738562,8.594771241830065,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.25,0,-3.8529194568979612,1.4490861707831375
1951-1952,BOS,33,89.75757575757575,7.787878787878788,0.0,0.0,0.7272727272727273,0.0933852140077821,4.011673151750973,0.0,37.5,4.011673151750973,5.53520705636119,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.787878787878788,0,-4.572705402613806,0.9789062976721622
1951-1952,GSW,21,86.57142857142857,11.238095238095237,0.0,0.0,0.0,0.0,2.707627118644068,0.0,0.0,2.707627118644068,3.8516949152542375,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.238095238095237,0,-2.577863941835761,0.058022331801213065
1951-1952,LAL,22,81.0909090909091,47.22727272727273,0.0,0.0,0.22727272727272727,0.004812319538017324,0.643888354186718,0.0,89.2,0.643888354186718,0.8567038033038801,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,47.22727272727273,0,-4.245904256284781,0.22423269268161336
1951-1952,NYK,6,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,-1.8494955310174017,-1.343159530844574
1952-1953,ATL,38,73.60526315789474,6.184210526315789,0.0,0.0,2.5526315789473686,0.4127659574468085,4.170212765957447,0.0,8.628865979381443,4.170212765957447,5.036372803226736,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.184210526315789,0,-3.4985262977070217,0.9148103577764164
1952-1953,BOS,36,87.55555555555556,9.166666666666666,0.0,0.0,2.111111111111111,0.23030303030303031,3.33030303030303,0.0,12.578947368421053,3.33030303030303,4.3363416244772175,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.166666666666666,0,-3.3442546131252042,0.5332539778220677
1952-1953,GSW,21,73.47619047619048,11.142857142857142,0.0,0.0,1.5714285714285714,0.14102564102564102,2.423076923076923,0.0,12.393939393939394,2.423076923076923,3.1043779172702397,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,11.142857142857142,0,-2.8854395253478673,0.04268266513939944
